Job Title,Job Description,Company Name,Location,Job Link
(Senior) Data Analyst (f/d/m),"Let's win together

As a (Senior) Data Analyst (f/d/m) at Temedica, you'll have the opportunity to delve into complex and diverse datasets and collaborate with with a cross-functional team of Data Analysts, Scientists, and Engineers to drive the refinement of advanced algorithms and leverage cutting-edge technologies. With your expertise in evidence-based consulting you will lead direct client interactions, while collaborating on data-driven projects that unveil valuable healthcare insights and empower clients to turn these insights into actionable recommendations, playing a vital role in improving patient care. Are you ready to take the lead in shaping the future of healthcare analytics? Join us at Temedica!

Your Role with us

You lead customer interactions as a data-driven consultant, generating actionable insights on patient behaviour and guiding clients to improve data-driven business decisions, ultimately improving the quality of patient lives in the healthcare industry.
You drive the design and execution of research projects with the use of statistical, and existing NLP techniques for internal and external solutions.
You drive the analysis of diverse data sources ranging from social media to prescriptions, sales, and claims, employing cutting-edge analysis tools and techniques.
You create compelling data visualisations, reports, and PowerPoint presentations to present and share insights with key internal and external stakeholders and clients.
You actively engage in close collaboration with the Data Team to enhance code quality and expand our data products ecosystem.
What you bring to the table

You have 3+ years of professional experience in data analytics, answering business questions with model-driven statistical analysis and independently driving analytical projects.
You have completed a University Degree (PhD or M.Sc.) in a Quantitative Field such as Statistics, Mathematics, Computer Science, Natural or Social Sciences, or Quantitative Marketing.
You are proficient with Python (Pandas, NumPy), SQL, and ideally, you have familiarity with Git version control. Additionally, experience with data visualization tools like Tableau, PowerBI, or Looker is a plus.
You have great written and spoken communication skills in English and German (C1 level).
What we bring to the table

We use data for the better. We create technology that really helps. At Temedica, we break new ground in digital health and challenge the traditional healthcare model. We believe that individualized treatment is a fundamental right of every patient - so we make it happen! We build medical applications and use artificial intelligence to translate patient behavior into sensible interventions. We also combine our application’s data with data sources from research, social listening and key market providers. Based on a B2B SaaS business model, we so offer novel data monitors that secure previously unknown insights for Pharma and Life-sciences to make personalized medicine reality. Finally!

You want more? There are a bunch of things that Temedica offers its employees - and we’re talking real benefits, not equipment, fruits and drinks. Of course we take care of your daily caffeine and vitamin supply while you perform your work on state-of-the-art devices, but there’s much more that we do to support our Temedicans, for example:

150€ monthly subsidiary: For whatever makes most sense for you. Starting after the probationary period, you have the freedom to select where to direct your subsidiary from a wide range of options. Whether it's internet at home, a BahnCard or public transport, Kindergarden subsidy , paid time-off, or even your dream workation, the choice is yours to make. And yes, we've also got your back for the long run. Our company pension scheme offers a 50% subsidy, capped at a maximum of 90€ per month, to proactively support your future financial security and help you save for retirement while maximizing your benefits. Mix and match these benefits to create a personalized package that suits your preferences and enhances your work-life balance!
Hybrid-work policy: Our hybrid-work policy allows you to work from anywhere within Germany. In your team, you are free to decide when to come to the office and enjoy working and celebrating your wins together. We’re talking 4 days per month here - cool?
Company off-sites and kick-off s: These events allow you to knowledge-share and gather a better understanding of how to successfully reach our goals. Let us tell you, the food during these events is also worth a shot!
We are happy to tell you more about our benefits and way of working at Temedica in a first call!

Join us!

You are looking for an exciting challenge within digital health? We are looking forward to your application!",Temedica,München,https://de.indeed.com/rc/clk?jk=d96d313417781ab5&bb=LoMjXSjcFbyToVwVjq5B8e8H7l_l2R-Z9LHpOqTcc_SgYyTAPpJwGlP0L7hB_M4sglrb5cO_LzH0VCSDGFxlSRaeL4ViKhSIpcOEGC706Yg%3D&xkcb=SoDU67M3HoRh6tx87x0LbzkdCdPP&fccid=8d089bf8857196b9&vjs=3
Software Engineer,"Summary

Posted: 7. Nov 2023

Weekly Hours: 38.5

Role Number: 200505174

The Wireless Software team is looking for a senior developer who is passionate about developing innovative and user-friendly software solutions that help Apple deliver the best products. We are seeking an experienced engineer who can help us design and develop tools that are intuitive and user friendly yet provide flexibility to power users. Strong communication skills with a solid understanding of Software Design Patterns, Data Structures, and Advanced Computer Science concepts are a must as you’ll be working with fellow engineers and cross-functional teams to add new and innovative features. Be ready to make something phenomenal when you come here. Dynamic and industry-defining technologies are the norm at Apple. The people who work here have reinvented and defined entire industries with our products. The same real passion for innovation also applies to our business practices - strengthening our commitment to leave the world better than we found it. You should join the Apple Wireless team if you want to help us deliver the next amazing Apple product.

Key Qualifications

Key Qualifications


Strong programming skills with an object-oriented language such as Swift, Objective-C, C++ or Java
Working experience in Cloud technologies
Experience as a software architect or as a senior engineer leading the development of complex projects
Experience with developing large scale UI applications
Deep understanding of computer science fundamentals, data structures, and algorithms
Excellent debugging skills
Strong communication skills to confidently deliver multiple projects across many teams
Obsessively passionate and inquisitive, and ability to analyze large features and implement practical solutions
Ability to work in a fast-paced environment that requires quick adoption of new techniques and out-of-the-box thinking
Proficiency with iOS/macOS SDK Frameworks and concepts (UIKit, GCD, Foundation, CoreData, etc.) would be an added advantage


Description

Description

The Wireless Software team is always looking for innovative ways to create new tools to ensure the highest levels of reliability and performance for Apple's products. We are seeking an expert engineer who can help us design, and develop frameworks and tools that meet the highest quality standards and own the industry. Our team delivers solutions to support developers to build macOS/iOS/watchOS products. We also work on building large-scale web applications, and other tooling solutions to our partners who help us to build the best products in the world.

Education & Experience

Education & Experience

Bachelor or Masters in Computer Science or related field

Additional Requirements

Additional Requirements",Apple,München,https://de.indeed.com/rc/clk?jk=f257624e3c15590e&bb=LoMjXSjcFbyToVwVjq5B8fjwEd35uweyZHiRQUEN1QO-IgOoHHowEB4uBoIaPnlz24AhtcqQ3ggMl-w-MQe1jRPzvmEh8fi6zrMsBul-wnA%3D&xkcb=SoBg67M3HoRh6tx87x0KbzkdCdPP&fccid=c1099851e9794854&vjs=3
Algorithm System Engineer,"Summary

Posted: 6. Dec 2023

Weekly Hours: 40

Role Number: 200525419

Apple designs consumer products that touch millions. We change the way that people interact with electronic devices around the world. The instrumentation development team is responsible for developing technologies, calibration methodologies and the respective instrumentation for the calibration and validation of Apple’s products. These solutions will be used during New Product Introduction (NPI) and transferred to mass production.

Key Qualifications

Key Qualifications


4+ year of experience in computer science, numerical or applied mathematics
Fundamental understanding of applied mathematics in the field of linear algebra and numerical methods
Competence in algorithm development / image processing / computer vision in Python, C or Matlab
Experience in convex optimization and/or parallel computing on GPUs is a plus
Experience in optical engineering / optical design / with electro-optical systems is a plus
Excellent English communication and presentation skills. Thrives in a highly cross-functional environment


Description

Description

The role of an Algorithm System Engineer is to design and deploy effective algorithms for new integrated optical measurement systems that will guarantee the high quality of Apple products. You will have the opportunity to craft and implement the algorithms that will enable highly effective and versatile optical instruments by using state-of-the art computer science approaches. You will work in a cross-functional team in Munich that is engaged in the complete development process including design, manufacturing and deployment. Responsibilities include: - Be part of a team that develops novel optical instruments for factory quality testing. - Design, develop and deploy data processing algorithms catered to various instruments. - Define and implement algorithm validation strategies in collaboration with a cross-functional team. - Bring up, debug and mature the metrology software and algorithms during NPI cycle. - Create robust and optimized processing libraries that will be applied on multiple projects.

Education & Experience

Education & Experience

BSc (+4 years of industry experience) or MSc/PhD in Computer Science / Mathematics / Imaging / Physics / Optics

Additional Requirements

Additional Requirements",Apple,München,https://de.indeed.com/rc/clk?jk=39bc81b982ad38f9&bb=LoMjXSjcFbyToVwVjq5B8Qc-wECsOslsZwGeNWoEUEXgN0zLFgaXnj2PR0hOBBAN4w668e_xRkW_Mdzo2B7jeYA_b_GcKBTpl3BBovwJd1M%3D&xkcb=SoD967M3HoRh6tx87x0JbzkdCdPP&fccid=c1099851e9794854&vjs=3
Software Engineer,"Summary

Posted: Nov 7, 2023

Weekly Hours: 38.5

Role Number: 200505174

The Wireless Software team is looking for a senior developer who is passionate about developing innovative and user-friendly software solutions that help Apple deliver the best products. We are seeking an experienced engineer who can help us design and develop tools that are intuitive and user friendly yet provide flexibility to power users. Strong communication skills with a solid understanding of Software Design Patterns, Data Structures, and Advanced Computer Science concepts are a must as you’ll be working with fellow engineers and cross-functional teams to add new and innovative features. Be ready to make something phenomenal when you come here. Dynamic and industry-defining technologies are the norm at Apple. The people who work here have reinvented and defined entire industries with our products. The same real passion for innovation also applies to our business practices - strengthening our commitment to leave the world better than we found it. You should join the Apple Wireless team if you want to help us deliver the next amazing Apple product.

Key Qualifications

Key Qualifications


Strong programming skills with an object-oriented language such as Swift, Objective-C, C++ or Java
Working experience in Cloud technologies
Experience as a software architect or as a senior engineer leading the development of complex projects
Experience with developing large scale UI applications
Deep understanding of computer science fundamentals, data structures, and algorithms
Excellent debugging skills
Strong communication skills to confidently deliver multiple projects across many teams
Obsessively passionate and inquisitive, and ability to analyze large features and implement practical solutions
Ability to work in a fast-paced environment that requires quick adoption of new techniques and out-of-the-box thinking
Proficiency with iOS/macOS SDK Frameworks and concepts (UIKit, GCD, Foundation, CoreData, etc.) would be an added advantage


Description

Description

The Wireless Software team is always looking for innovative ways to create new tools to ensure the highest levels of reliability and performance for Apple's products. We are seeking an expert engineer who can help us design, and develop frameworks and tools that meet the highest quality standards and own the industry. Our team delivers solutions to support developers to build macOS/iOS/watchOS products. We also work on building large-scale web applications, and other tooling solutions to our partners who help us to build the best products in the world.

Education & Experience

Education & Experience

Bachelor or Masters in Computer Science or related field

Additional Requirements

Additional Requirements",Apple,München,https://de.indeed.com/rc/clk?jk=bcec839dac50ddbf&bb=LoMjXSjcFbyToVwVjq5B8e9DboVOHT_qQyd-Sh78NewFFtfYjKq6Ur0HLRK_n-7tVz9oE8xg-90SL7HRWZyk_euncENrMhSktJFmab1QBVI%3D&xkcb=SoBJ67M3HoRh6tx87x0IbzkdCdPP&fccid=c1099851e9794854&vjs=3
Embedded 5G/4G Cellular Physical Layer Firmware Engineer (m/f/d),"Summary

Posted: Apr 4, 2023

Role Number: 200222334

Do you have a passion for invention and self-challenge? Do you thrive on pushing the limits of what’s considered feasible? As part of a world-class modem team, you’ll craft sophisticated leading-edge embedded firmware that delivers more performance in our products than ever before. You’ll work across disciplines to transform improved hardware elements into a single, integrated design. Join us, and you’ll help us innovate new wireless systems technologies that continually outperform the previous iterations. By collaborating with other product development groups across Apple, you’ll push the industry boundaries of what wireless systems can do and improve the product experience for our customers across the world. Do you want to have an impact on every single Apple product? As a Wireless Embedded Physical Layer Firmware Engineer on this team, you will be at the center of the embedded 5G/4G/multimode cellular firmware effort within a silicon design group responsible for designing and productizing state-of-the-art cellular SoCs. This position requires someone comfortable will all aspects of embedded software development, thrive in a dynamic cross-functional organization, is not afraid to debate ideas openly, and is flexible enough to pivot on constantly evolving requirements.

Key Qualifications

Key Qualifications


Experience with hardware control for physical layer 4G/5G data path processing.
Understanding of 5G and 4G 3GPP protocols would be a nice-to-have
Very good understanding of software engineering principles, and core computer science fundamentals.
Very good proficiency in C and C++, compilers, build, and source code control tools.
Significant experience with memory-constrained Real-Time Operating Systems (RTOS) and concurrent programming.
Working knowledge of computer architecture with particular emphasis on the HW/SW interfaces of high-speed communication subsystems.
Experience with silicon prototyping, emulation systems, and virtual platforms.
Proficiency in debugging embedded software systems. Familiarity with UARTs, JTAG, and oscilloscopes.
Some mainstream OS application level development and Python or Perl scripting experience.
English language proficiency


Description

Description

Specify, design, and implement the firmware architecture of a state-of-the-art mobile wireless communications system. Implement key protocol, signal processing and numerical algorithms with very tight time, latency, and energy budgets by interfacing to specialized cellular ASIC hardware. Work with silicon designers to define a processor, bus, DMA, accelerator, and memory subsystems. Assist in the development of pre-silicon emulation systems/virtual platforms and use them for pre-silicon FW design and HW verification. Evaluate and implement leading-edge tools for build, formal verification, and testing. Define methodologies and best practices.

Education & Experience

Education & Experience

Bachelor’s or Master's degree in electrical engineering or computer science is required. Apple is an equal opportunity employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities.

Additional Requirements

Additional Requirements",Apple,München,https://de.indeed.com/rc/clk?jk=2cc24a4aa3e9a98a&bb=LoMjXSjcFbyToVwVjq5B8cxC-3gQCG2sSOx8zwUaamhuvo9pSFhrcer--ZvQKaRNacQdGUoDhEntjd0OeDFktiabXYxN-vWNRBWrjQ1wl34%3D&xkcb=SoDH67M3HoRh6tx87x0PbzkdCdPP&fccid=c1099851e9794854&vjs=3
Sr Software Engineer,"Requisition ID: 55275
Department:
Location: Munich, DE SG Tokyo, JP Munich, DE Beijing, CN
Job Function: Software
Renesas Electronics Corporation (TSE: 6723) empowers a safer, smarter and more sustainable future where technology helps make our lives easier. A leading global provider of microcontrollers, Renesas combines our expertise in embedded processing, analog, power and connectivity to deliver complete semiconductor solutions. These Winning Combinations accelerate time to market for automotive, industrial, infrastructure and IoT applications, enabling billions of connected, intelligent devices that enhance the way people work and live. Learn more at renesas.com. Follow us on LinkedIn, Facebook, Twitter, YouTube, and Instagram.

Renesas’ mission, To Make Our Lives Easier, is underpinned by our company culture, TAGIE. TAGIE stands for Transparent, Agile, Global, Innovative and Entrepreneurial. Our goal is to embed this unique culture in everything we do to succeed as a company and create trust with our diverse colleagues, customers and stakeholders.

Renesas provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

We are committed to creating a diverse culture where everyone is included and feels a sense of belonging. For more information, please read our Diversity & Inclusion Statement.
We are looking for a Cloud Engineer to support our Machine Learning Core and AI Systems teams. In this role, the Cloud Engineer works closely with our machine learning engineers on the infrastructure side to design, develop, deploy, and manage infrastructure and tools that will help internal and external research scientists, software, and hardware engineers.

Our mission is to use the latest machine learning and cloud technologies to develop the best AI inference for self-driving vehicle and advanced driver safety engineers. Renesas is the leading automotive electronics supplier globally, and this is a rare opportunity to deploy your AI software to the billions of devices we ship to customers every year. You will join our newly formed AI Solutions global research and development organization of around 100 software engineers. Due to strong demand for our AI-related products we are planning to triple in size in the next three years, so there is lots of room for you to help us grow the team together while remaining small. Our key locations are the Tokyo, London, Dusseldorf, and Ho Chi Minh City metro areas, but you can also join fully remotely from other locations globally or get our support to relocate to our key location hubs such as Tokyo.

Responsibilities:

Design, develop, deploy, and manage cloud-based AI software for our self-driving vehicle customers.
Leverage cloud native technologies and environments (GitHub/GitLab, Terraform, Docker, Kubernetes etc) to deploy our products on our multiple cloud provider infrastructures (Amazon Web Services etc).
Design the implementation and management of our AI solutions using the latest cloud technologies to make our internal and customer engineer’s life easier and meet their AI workflow needs.
Collaborate with research scientists, software engineers and business owners to align cloud engineering requirements and priorities.
Collaborate with teams outside your organization to manage cross functional dependencies.

Qualifications:

Bachelor’s or Master’s degree in computer science, machine learning, mathematics, physics, electrical engineering or related field.
Experience in C/C++, Python, or other related programming language
3 years’ experience with software engineering, including working with one or more cloud environments.
2 years’ experience deploying applications working with cloud technologies (eg Kubernetes, Docker, Terraform) on one or more cloud providers (eg Amazon Web Services, Microsoft Azure, Google Cloud)
Familiar with concepts of machine learning, data science or AI frameworks (eg TensorFlow/Keras, PyTorch, Pandas), and ML tools (eg Weights and Biases, MLFlow).
Ability to speak and write in English at a business level.",Renesas Design Vietnam,München,https://de.indeed.com/rc/clk?jk=994a398de75e8fc7&bb=LoMjXSjcFbyToVwVjq5B8fBmKmlq1VDL8tB9Y6eJJIhmMG7hDR1Hfm2FgpMYZYBpUSu9R_L2uATuU_a3MGjsKH2_rBU16MBmEIKriKo5zjQ%3D&xkcb=SoBz67M3HoRh6tx87x0ObzkdCdPP&fccid=2736ebbc71c8340f&vjs=3
Algorithm System Engineer,"Summary

Posted: Dec 6, 2023

Weekly Hours: 40

Role Number: 200525419

Apple designs consumer products that touch millions. We change the way that people interact with electronic devices around the world. The instrumentation development team is responsible for developing technologies, calibration methodologies and the respective instrumentation for the calibration and validation of Apple’s products. These solutions will be used during New Product Introduction (NPI) and transferred to mass production.

Key Qualifications

Key Qualifications


4+ year of experience in computer science, numerical or applied mathematics
Fundamental understanding of applied mathematics in the field of linear algebra and numerical methods
Competence in algorithm development / image processing / computer vision in Python, C or Matlab
Experience in convex optimization and/or parallel computing on GPUs is a plus
Experience in optical engineering / optical design / with electro-optical systems is a plus
Excellent English communication and presentation skills. Thrives in a highly cross-functional environment


Description

Description

The role of an Algorithm System Engineer is to design and deploy effective algorithms for new integrated optical measurement systems that will guarantee the high quality of Apple products. You will have the opportunity to craft and implement the algorithms that will enable highly effective and versatile optical instruments by using state-of-the art computer science approaches. You will work in a cross-functional team in Munich that is engaged in the complete development process including design, manufacturing and deployment. Responsibilities include: - Be part of a team that develops novel optical instruments for factory quality testing. - Design, develop and deploy data processing algorithms catered to various instruments. - Define and implement algorithm validation strategies in collaboration with a cross-functional team. - Bring up, debug and mature the metrology software and algorithms during NPI cycle. - Create robust and optimized processing libraries that will be applied on multiple projects.

Education & Experience

Education & Experience

BSc (+4 years of industry experience) or MSc/PhD in Computer Science / Mathematics / Imaging / Physics / Optics

Additional Requirements

Additional Requirements",Apple,München,https://de.indeed.com/rc/clk?jk=81718a4ffaacc767&bb=LoMjXSjcFbyToVwVjq5B8WZ1oUvLLw1UezKvT2ZXTqH8B8YRNQBEUhKm7KbUtl7ix1IIos0efKjjXXe0KCHBw0azc7qiBuB8NY18PIceL0g%3D&xkcb=SoDu67M3HoRh6tx87x0NbzkdCdPP&fccid=c1099851e9794854&vjs=3
Sr Software Engineer,"Title: Sr Software Engineer
Requisition ID: 55275
Department:
Location: Munich, DE
SG
Tokyo, JP
Munich, DE
Beijing, CN
Job Function: Software
Renesas Electronics Corporation (TSE: 6723) empowers a safer, smarter and more sustainable future where technology helps make our lives easier. A leading global provider of microcontrollers, Renesas combines our expertise in embedded processing, analog, power and connectivity to deliver complete semiconductor solutions. These Winning Combinations accelerate time to market for automotive, industrial, infrastructure and IoT applications, enabling billions of connected, intelligent devices that enhance the way people work and live. Learn more at renesas.com. Follow us on LinkedIn, Facebook, Twitter, YouTube, and Instagram.

Renesas’ mission, To Make Our Lives Easier, is underpinned by our company culture, TAGIE. TAGIE stands for Transparent, Agile, Global, Innovative and Entrepreneurial. Our goal is to embed this unique culture in everything we do to succeed as a company and create trust with our diverse colleagues, customers and stakeholders.

Renesas provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

We are committed to creating a diverse culture where everyone is included and feels a sense of belonging. For more information, please read our Diversity & Inclusion Statement.
We are looking for a Cloud Engineer to support our Machine Learning Core and AI Systems teams. In this role, the Cloud Engineer works closely with our machine learning engineers on the infrastructure side to design, develop, deploy, and manage infrastructure and tools that will help internal and external research scientists, software, and hardware engineers.

Our mission is to use the latest machine learning and cloud technologies to develop the best AI inference for self-driving vehicle and advanced driver safety engineers. Renesas is the leading automotive electronics supplier globally, and this is a rare opportunity to deploy your AI software to the billions of devices we ship to customers every year. You will join our newly formed AI Solutions global research and development organization of around 100 software engineers. Due to strong demand for our AI-related products we are planning to triple in size in the next three years, so there is lots of room for you to help us grow the team together while remaining small. Our key locations are the Tokyo, London, Dusseldorf, and Ho Chi Minh City metro areas, but you can also join fully remotely from other locations globally or get our support to relocate to our key location hubs such as Tokyo.

Responsibilities:

Design, develop, deploy, and manage cloud-based AI software for our self-driving vehicle customers.
Leverage cloud native technologies and environments (GitHub/GitLab, Terraform, Docker, Kubernetes etc) to deploy our products on our multiple cloud provider infrastructures (Amazon Web Services etc).
Design the implementation and management of our AI solutions using the latest cloud technologies to make our internal and customer engineer’s life easier and meet their AI workflow needs.
Collaborate with research scientists, software engineers and business owners to align cloud engineering requirements and priorities.
Collaborate with teams outside your organization to manage cross functional dependencies.

Qualifications:

Bachelor’s or Master’s degree in computer science, machine learning, mathematics, physics, electrical engineering or related field.
Experience in C/C++, Python, or other related programming language
3 years’ experience with software engineering, including working with one or more cloud environments.
2 years’ experience deploying applications working with cloud technologies (eg Kubernetes, Docker, Terraform) on one or more cloud providers (eg Amazon Web Services, Microsoft Azure, Google Cloud)
Familiar with concepts of machine learning, data science or AI frameworks (eg TensorFlow/Keras, PyTorch, Pandas), and ML tools (eg Weights and Biases, MLFlow).
Ability to speak and write in English at a business level.",Renesas,München,https://de.indeed.com/rc/clk?jk=13aa76a7e8adb7c5&bb=LoMjXSjcFbyToVwVjq5B8a_YZkbVNsmjnE8_isBVcU0RT67TKXI5Jq5g3G3PUmbLtIyLjE7w7Rtqje_DaHXndPy3eowjAhKqFaRybFAtuVE%3D&xkcb=SoBa67M3HoRh6tx87x0MbzkdCdPP&fccid=2736ebbc71c8340f&vjs=3
Experienced 5G/4G Cellular Physical Layer Embedded Firmware Engineer (m/f/d),"Summary

Posted: 7. Dec 2023

Role Number: 200527354

Do you have a passion for invention and self-challenge? Do you thrive with pushing the limits of what’s considered feasible? As part of a best-in-class modem team, you’ll craft sophisticated groundbreaking embedded firmware that delivers more performance in our products than ever before. You’ll work across subject areas to transform improved hardware elements into a single, integrated design. Join us, and you’ll help us innovate new wireless systems technologies that continually outperform the previous iterations. You will collaborate with other product development groups across Apple, you’ll push the industry boundaries of what wireless systems can do and improve the product experience for our customers across the world. Do you want to have an impact on every single Apple product? As a Wireless Embedded Physical Layer Firmware Engineer on this team, you will be at the center of the embedded 5G/4G/multimode cellular firmware effort within a silicon design group responsible for crafting and productizing state-of-the-art cellular SoCs. This position requires someone comfortable will all aspects of embedded software development, thrives in a complex multi-functional organization, is not afraid to debate ideas openly, and is flexible enough to pivot on constantly evolving requirements.

Key Qualifications

Key Qualifications


Very good proficiency in C and C++, compilers, build, and source code control tools.
Existing expereince with hardware control for physical layer 4G/5G data path processing.
Understanding of 5G and 4G 3GPP protocols
Good understanding of software engineering principles, and core computer science fundamentals.
Good experience with memory-constrained Real-Time Operating Systems (RTOS) and concurrent programming.
Knowledge of computer architecture with particular emphasis on the HW/SW interfaces of high-speed communication subsystems.
Experience with silicon prototyping, emulation systems, and virtual platforms.
Proficiency in debugging embedded software systems. Familiarity with UARTs, JTAG, and oscilloscopes.
Some mainstream OS application level development and Python or Perl scripting experience.
English language proficiency is required


Description

Description

Specify, design, and implement the firmware architecture of a state-of-the-art mobile wireless communications system. Implement key protocol, signal processing, and numerical algorithms with very tight time, latency, and energy budgets by interfacing with specialized cellular ASIC hardware. Work with silicon designers to define a processor, bus, DMA, accelerator, and memory subsystems. Assist in the development of pre-silicon emulation systems/virtual platforms and use them for pre-silicon FW design and HW verification. Evaluate and implement leading-edge tools for build, formal verification, and testing. Define methodologies and best practices.

Education & Experience

Education & Experience

Bachelor’s or Master's degree in Electrical or Communication Engineering, Embedded Systems or Computer Science is required. Apple is an equal-opportunity employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities.

Additional Requirements

Additional Requirements",Apple,München,https://de.indeed.com/rc/clk?jk=2273b93d80a4d693&bb=LoMjXSjcFbyToVwVjq5B8XeBzI1gavuj-mTmhnGGeNCgvgxRGU40j6L65yYnmhHIkLs_MZDh1agsDPFcZwGYG-5LfG6kHvUY4vuMnI7wmnU%3D&xkcb=SoCz67M3HoRh6tx87x0DbzkdCdPP&fccid=c1099851e9794854&vjs=3
"Lead Data Scientist, Insurance Industry - BCG X","Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.

BCG X

BCG X is the tech build & design unit of BCG. Turbocharging BCG's deep industry and functional expertise, BCG X brings together advanced tech knowledge and ambitious entrepreneurship to help organizations enable innovation at scale. With nearly 3,000 technologists, scientists, programmers, engineers, and human-centered designers located across 80+ cities, BCG X builds and designs platforms and software to address the world's most important challenges and opportunities. Teaming across our practices, and in close collaboration with our clients, our end-to-end global team unlocks new possibilities. Together we're creating the bold and disruptive products, services, and businesses of tomorrow.

Practice Area Profile

What You'll Do

Our BCG X teams own the full analytics value-chain end to end: framing new business challenges, designing innovative algorithms, implementing, and deploying scalable solutions, and enabling colleagues and clients to fully embrace AI. Our product offerings span from fully custom-builds to industry specific leading edge AI software solutions.
As a Lead Data Scientist in our insurance practice, you'll be part of our rapidly growing team. You'll have the chance to apply data science methods and analytics to real-world business situations across the insurance sector to drive significant business impact. We help companies identify and develop growth opportunities that reshape the future of the insurance industry.
As a core member of BCG X you will also take a larger and more proactive role in shaping the strategy of BCG X – and of BCG overall. You will work closely with partners & managing directors to drive our company’s growth & business development. Additional responsibilities will include developing and delivering thought leadership, managing teams of data scientists, engineers, designers. Successful candidates are intellectually curious builders who are biased toward action, scrappy, and communicative.

We are seeking a strong candidate with significant experience in the insurance sector and advanced analytics to fill an exciting Lead Data Scientist position within BCG X. The Lead Data Scientist is expected to be a recognized expert in data science and will manage a team of data scientists and engineers to build innovative new products and analytics solutions in BCG's fast growing insurance practice. Successful candidates possess the following:
Comfortable in a client-facing role, manage engagements, client relationships, provide “thought leadership” to teams
Explain sophisticated data science concepts in an understandable manner and act as interface between business & tech
Likes to distill complex results or processes into simple, clear visualizations
Significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data
Solid understanding of modern machine learning techniques and their mathematical underpinnings, and can translate this into business implications for our insurance clients
Have strong project management skills

What You'll Bring (Experience & Qualifications)

7+ years of relevant industry work experience in an Insurance company or Insurtech Startup providing advanced analytics solutions
Advanced degree required in a field linked to business analytics, statistics or geo- statistics, operations research, geography, applied mathematics, computer science, engineering, or related field
Strong record of professional accomplishment and leadership
Looking for individuals with deep technical and data science expertise, acute strategic and analytical skills, ability to lead and persuade, drive and energy, and desire to work in a project-based environment
Demonstrated ability to lead and manage projects and teams
Proven ability to drive topics and make a commercial impact in the insurance sector
Fluency in at least one coding language (Python)",Boston Consulting Group,München,https://de.indeed.com/rc/clk?jk=168b3b10058125e6&bb=LoMjXSjcFbyToVwVjq5B8SdVOLu164jIvWs7AjhzLYKgdN550wnzldSYeFVVbfJZ4Nlx_7T_U1qwyRcVYSJgjOV4Q4tYs8HBPGeFThnFvks%3D&xkcb=SoAH67M3HoRh6tx87x0CbzkdCdPP&fccid=b95f9eb47968fa13&vjs=3
