Job Title,Job Description,Company Name,Location,Job Link
Software Developer (m/w/x),"In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.

Join us today. Inspire people tomorrow.

Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.

Apply now! It takes less than 10 minutes.
You will develop innovative solutions for our industry customers
You develop an innovative conception, architecture and implementation of data interfaces for industrial communications via OPC UA
You will develop software based on the .NET Core .NET Framework
You will transform semantic modeling and adaptation of machine, operating and process data to information models that are becoming established
You will be responsible for definition, selection and application of data broker technologies and frameworks
You will develop connectors and adapters to existing applications
You will be a part of the entire development process (such as requirements analysis, design, implementation, documentation and unit testing)
You will work on innovative solutions in a motivated, agile team
You will setup a CI / CD system based on the current state of the art
You have a successfully completed degree in computer science / informatics / mathematics / engineering or a comparable qualification
You have several years of professional experience as a software engineer preferably in the industrial environment
You have knowledge in finding solutions for complex technological problems
You have experience in writing code and reviewing the code from others
You have experience in .NET Core and .NET Framework
You have Know-how in the area of IT and WEB protocols (OPC UA, MQTT, REST) and the associated data modeling (XML, JSON)
You have some basic knowledge of OT protocols (Ethernet fieldbuses)
You are a highly team-oriented, independent and organized way of working
You have Interest and ability to learn other coding languages as needed
You are fluent in English and have ideally some knowledge in German Would you like to gain an influence on the company's success in one of the most exciting business units
Would you like an appreciative and close cooperation with very flexible and innovative working time models? Then you should definitely apply for this job!
Your ZEISS Recruiting Team:
Stefan Schmid
Karte anzeigen
ZEISS
73447 Oberkochen, Deutschland
",ZEISS,Oberkochen (Baden-Württemberg),https://www.stepstone.de/stellenangebote--Software-Developer-m-w-x-Oberkochen-Baden-Wuerttemberg-ZEISS--9716101-inline.html
Software Developer Algorithm/Architecture (m/f/x),"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.
In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.
Join us today. Inspire people tomorrow.
Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.
Apply now! It takes less than 10 minutes.
You will develop innovative functions for our software product
You develop software components for the efficient processing of Coordinate metrology with a focus on algorithms
You will develop software based on C++
You will be a part of the entire development process (such as requirements analysis, design, implementation, documentation and unit testing)
You will be involved in and responsible for all phases from the idea of new applications through functions in the software, concept development, design coordination, planning and implementation up to the release of the software
You will work in a motivated, agile SCRUM team
You will break down system designs into logical parts
You have a degree in computer science / informatics / mathematics or a comparable qualification
You have professional experience as a software engineer (m/f/d) in a similar field
You have proven knowledge in finding solutions for complex technological problems
You have experience in C++ and in agile development environments
You have experience in algorithmic geometry (computational geometry), numerics or point cloud or mesh processing
You are a highly team-oriented, independent and organized individual
You have knowledge of object-oriented software development and software design patterns
Fun in dealing with complex tasks as well as high motivation and team spirit
Your ZEISS Recruiting Team:
Stefan Schmid
Karte anzeigen
ZEISS
73447 Oberkochen, Deutschland
",ZEISS,Oberkochen (Baden-Württemberg),https://www.stepstone.de/stellenangebote--Software-Developer-Algorithm-Architecture-m-f-x-Oberkochen-Baden-Wuerttemberg-ZEISS--9341709-inline.html
Software Developer (f/m/x),"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.

In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.

Join us today. Inspire people tomorrow.

Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.

Apply now! It takes less than 10 minutes.
You will develop innovative solutions for our industry customers
You develop an innovative conception, architecture and implementation of data interfaces for industrial communications via OPC UA
You will develop software based on the .NET Core .NET Framework
You will transform semantic modeling and adaptation of machine, operating and process data to information models that are becoming established
You will be responsible for definition, selection and application of data broker technologies and frameworks
You will develop connectors and adapters to existing applications
You will be a part of the entire development process (such as requirements analysis, design, implementation, documentation and unit testing)
You will work on innovative solutions in a motivated, agile team
You will setup a CI / CD system based on the current state of the art
You have a successfully completed degree in computer science / informatics / mathematics / engineering or a comparable qualification 
You have several years of professional experience as a software engineer preferably in the industrial environment
You have knowledge in finding solutions for complex technological problems
You have experience in writing code and reviewing the code from others
You have experience in .NET Core and .NET Framework
You have Know-how in the area of IT and WEB protocols (OPC UA, MQTT, REST) and the associated data modeling (XML, JSON) 
You have some basic knowledge of OT protocols (Ethernet fieldbuses) 
You are a highly team-oriented, independent and organized way of working
You have Interest and ability to learn other coding languages as needed
You are fluent in English and have ideally some knowledge in German
Would you like to gain an influence on the company's success in one of the most exciting business units?
Would you like an appreciative and close cooperation with very flexible and innovative working time models?
Then you should definitely apply for this job!
Your ZEISS Recruiting Team:
Stefan Schmid
Karte anzeigen
ZEISS
83115 Neubeuern, Deutschland
",ZEISS,Neubeuern,https://www.stepstone.de/stellenangebote--Software-Developer-f-m-x-Neubeuern-ZEISS--9448515-inline.html
Software Developer – Natural Language Processing,"The Fraunhofer-Gesellschaft currently operates 76 institutes and research institutions throughout Germany and is the world’s leading applied research organization. Around 30 800 employees work with an annual research budget of 3.0 billion euros.
Our »Audio and Media Technologies« division at the Fraunhofer Institute for Integrated Circuits IIS in Erlangen develops world-class audio and speech processing technology and is one of the world's largest organizations in this field. Known worldwide for our significant contribution to the development of MP3 and ACC, our »Audio and Media Technologies« department has been working on multimedia technologies as well as audio and image coding for more than 25 years. More than 300 engineers and scientists drive state-of-the-art innovation and develop technologies that are currently used in over 10 billion devices and have already been licensed to more than 1 000 companies.
Are you interested in bringing state-of-the-art technologies into the cloud?
Then we might have the right job for you!
As a member of the Natural Language User Interface team, you’ll develop innovative solutions for voice assistant technologies designed for industrial environments.
As part of an agile team moving speech technologies to the cloud, you’ll be involved in all stages of the software solution development.
While contributing ideas to the software architecture design, you’ll also be involved in the documentation, implementation, and containerization of applications.
Additionally, you’ll work on configuring deployments, cluster monitoring, and troubleshooting.
In this position, you´ll collaborate with other teams to design quality assurance tests.
Academic degree in computer science, engineering, or a related field
Profound professional experience in software development with Python
Proficient handling of version control in Git
Hands-on and in-depth knowledge of containerization and Kubernetes
Willingness to become familiar with new technologies
An exciting job at a global market leader in a highly innovative key industry
Projects with a strong practical component motivate our employees to drive innovation.
Our dedicated teams offer freedom for your ideas and room for creativity.
We value personal contact: With our structured onboarding process, you will quickly become familiar with our institute and be able to extend your network successfully.
We take your needs seriously: We support your work-life balance by offering flexible working hours and hybrid work.
Our colleagues enjoy our positive work culture: We are open-minded, we help and trust each other.
Top of the line infrastructure at your work place: With our state-of-the-art technologies, we develop solutions to meet the challenges of today and tomorrow.
Talent development already starts in school: Our programs inspire young people at an early age to pursue sciences and foster creative junior scientists.
Your goals and interests are important to us: We offer ongoing professional and personal seminars, coaching, and language classes.
We offer equal opportunities: Our female scientists, for example, benefit from the »Fraunhofer TALENTA« career program.
We offer complementary parking spaces, charging stations for electric cars and covered bicycle parking, and showers at the institute. 
We subsidize your Deutschland-Ticket (Jobticket) ‒ bus stops are located directly in front of the institute. 
In-house health management including sports courses, running groups, and relaxation seminars. 
Karte anzeigen
Fraunhofer-Institut für Integrierte Schaltungen IIS
Am Wolfsmantel 33, 91058 Erlangen, Deutschland
Pendelzeit
Von:
Nach:
Wie:
Auto
ÖPNV
Zu Fuß
Fahrrad
Pendelzeit anzeigen
- - : - -
",Fraunhofer-Institut für Integrierte Schaltungen IIS,Erlangen,https://www.stepstone.de/stellenangebote--Software-Developer-Natural-Language-Processing-Erlangen-Fraunhofer-Institut-fuer-Integrierte-Schaltungen-IIS--10449623-inline.html
Software Developer (m/f/x),"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.
In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.
Join us today. Inspire people tomorrow.
Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.
Apply now! It takes less than 10 minutes.
You will develop innovative solutions for our industry customers
You develop an innovative conception, architecture and implementation of data interfaces for industrial communications via OPC UA
You will develop software based on the .NET Core .NET Framework
You will transform semantic modeling and adaptation of machine, operating and process data to information models that are becoming established
You will be responsible for definition, selection and application of data broker technologies and frameworks
You will develop connectors and adapters to existing applications
You will be a part of the entire development process (such as requirements analysis, design, implementation, documentation and unit testing)
You will work on innovative solutions in a motivated, agile team
You will setup a CI / CD system based on the current state of the art
You have a successfully completed degree in computer science / informatics / mathematics / engineering or a comparable qualification 
You have several years of professional experience as a software engineer preferably in the industrial environment
You have knowledge in finding solutions for complex technological problems
You have experience in writing code and reviewing the code from others
You have experience in .NET Core and .NET Framework
You have Know-how in the area of IT and WEB protocols (OPC UA, MQTT, REST) and the associated data modeling (XML, JSON) 
You have some basic knowledge of OT protocols (Ethernet fieldbuses) 
You are a highly team-oriented, independent and organized way of working
You have Interest and ability to learn other coding languages as needed
You are fluent in English and have ideally some knowledge in German
Would you like to gain an influence on the company's success in one of the most exciting business units?
Would you like an appreciative and close cooperation with very flexible and innovative working time models?
Then you should definitely apply for this job!
Your ZEISS Recruiting Team:
Stefan Schmid
Karte anzeigen
ZEISS
83115 Neubeuern, Deutschland
",ZEISS,Neubeuern,https://www.stepstone.de/stellenangebote--Software-Developer-m-f-x-Neubeuern-ZEISS--9264961-inline.html
Software Developer OPC/UA (f/m/x),"Step out of your comfort zone, excel and redefine the limits of what is possible. That’s just what our employees are doing every single day – in order to set the pace through our innovations and enable outstanding achievements. After all, behind every successful company are many great fascinating people.

In a spacious modern setting full of opportunities for further development, ZEISS employees work in a place where expert knowledge and team spirit reign supreme. All of this is supported by a special ownership structure and the long-term goal of the Carl Zeiss Foundation: to bring science and society into the future together.

Join us today. Inspire people tomorrow.

Diversity is a part of ZEISS. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, philosophy of life, disability, age, sexual orientation or identity.

Apply now! It takes less than 10 minutes.
The Industrial Quality Solutions (IQS) division is a leading manufacturer of solutions for multi-dimensional measurement technology. These include coordinate measuring machines, optical and multi-sensor systems as well as measurement technology software for the automotive industry, aircraft and mechanical engineering as well as the plastics industry and medical technology. The headquarters is in Oberkochen.
Your role
You will develop innovative solutions for our industry customers
You develop an innovative conception, architecture and implementation of data interfaces for industrial communications via OPC UA
You will develop software based on the .NET Core .NET Framework
You will transform semantic modeling and adaptation of machine, operating and process data to information models that are becoming established
You will be responsible for definition, selection and application of data broker technologies and frameworks
You will develop connectors and adapters to existing applications
You will be a part of the entire development process (such as requirements analysis, design, implementation, documentation and unit testing)
You will work on innovative solutions in a motivated, agile team
You will setup a CI / CD system based on the current state of the art
You have a successfully completed degree in computer science / informatics / mathematics / engineering or a comparable qualification 
You have several years of professional experience as a software engineer preferably in the industrial environment
You have knowledge in finding solutions for complex technological problems
You have experience in writing code and reviewing the code from others
You have experience in .NET Core and .NET Framework
You have Know-how in the area of IT and WEB protocols (OPC UA, MQTT, REST) and the associated data modeling (XML, JSON) 
You have some basic knowledge of OT protocols (Ethernet fieldbuses) 
You are a highly team-oriented, independent and organized way of working
You have Interest and ability to learn other coding languages as needed
You are fluent in English and have ideally some knowledge in German
Would you like to gain an influence on the company's success in one of the most exciting business units?
Would you like an appreciative and close cooperation with very flexible and innovative working time models
Then you should definitely apply for this job!
Karte anzeigen
ZEISS
38122 Braunschweig, Deutschland
",ZEISS,Braunschweig,https://www.stepstone.de/stellenangebote--Software-Developer-OPC-UA-f-m-x-Braunschweig-ZEISS--9264962-inline.html
Software Developer for dCache,"For our location in Hamburg we are seeking:
Software Developer for dCache
Limited: 2 years | Starting date: earliest possible | ID: FHMA005/2022 | Deadline: 10.01.2024 | Full-time/Part-time
DESY, with more than 3000 employees at its two locations in Hamburg and Zeuthen, is one of the world's leading research centres. Its research focuses on decoding the structure and function of matter, from the smallest particles of the universe to the building blocks of life. In this way, DESY contributes to solving the major questions and urgent challenges facing science, society and industry. With its ultramodern research infrastructure, its interdisciplinary research platforms and its international networks, DESY offers a highly attractive working environment in the fields of science, technology and administration as well as for the education of highly qualified young scientists.
dCache.org is an international collaboration of computer scientists to provide eponymous open-source software for storing and retrieving huge amounts of data, distributed among a large number of heterogeneous server nodes, under a single virtual filesystem tree with a variety of standard access methods, including NFSv4.1 (pNFS), WebDAV and FTP protocols. Depending on the persistency model, dCache provides methods for exchanging data with backend (tertiary) storage systems as well as space management, pool attraction, dataset replication, hot spot determination and recovery from disk or node failures. dCache.org products are in use around the world by a large variety of scientific communities. The software is written in Java programming language using microservice-like architecture and based on widely adopted components, like Jetty, Spring, Zookeeper, Apache Kafka and others. The dCache source code is available at GitHub and open for external contributions. The German section of dCache.org is part of the scientific computing group within DESY IT.
Development and integration of dCache administration and web interfaces
Documentation and improvement of the RESTful-APl for the data management components
Providing user support for the dCache software technology
University master’s degree in computer science, physics, mathematics, or equivalent
Very good knowledge in Java software development and modern web development on Linux platforms
Experience with distributed computing and storage systems
Good spoken and written command of the English language
Team player with good communication skills
Look forward to a unique working environment on our international research campus. We attach particular importance to appreciative cooperation and the well-being of our DESY employees. Gender equality is an important aspect for us. To support work-life balance we offer flexible working hours, variable part-time and job-sharing. You will benefit from our family-friendly and collegial atmosphere, our established health management and occupational pension provision. As a public employer, we offer you a secure workplace and facilitate your individual career with our comprehensive training and development opportunities. Remuneration is according to the regulations of the TV‑AVH. DESY offers its employees a financial supplement for a job ticket at both locations.
Karte anzeigen
Deutsches Elektronen-Synchrotron DESY
Notkestraße 85, 22607 Hamburg, Deutschland
Pendelzeit
Von:
Nach:
Wie:
Auto
ÖPNV
Zu Fuß
Fahrrad
Pendelzeit anzeigen
- - : - -
",Deutsches Elektronen-Synchrotron DESY,Hamburg,https://www.stepstone.de/stellenangebote--Software-Developer-for-dCache-Hamburg-Deutsches-Elektronen-Synchrotron-DESY--10423461-inline.html
Senior Software Developer (DevOps) (f/m/d),"With our strong brands GMX, WEB.DE and mail.com and over 42 million active users, we are the leading email and communications platform in Germany, Austria and Switzerland. From this strong market position, services and apps are developed that simplify users' digital lives - from office tools and cloud solutions to personal ID management.
Are you passionate about automating all the things concerning build and deployment? Do you want to use (almost) everything you develop yourself as well in your daily work. Do you enjoy flat hierarchies and seeing your own ideas coming to life? Developing tools to support operations and development is your thing? Are curiosity and lifelong learning not challenges but something you like in a job? Then we look forward to getting to know you!
In this role you will be responsible for developing software for our in-house software asset management, like the automatic data acquisition, advanced processing, visualization and APIs for accessing the data. In a small team/squad of 5 embedded in a tribe of about 25 people you can show your strong communication skills.
You will design, develop and run Spring Boot 3 based rest services using JDK 17 or 21 and their Vue.js/Typescript/Bootstrap based SPA frontends for an internal audience.
You will improve our internal Python3/Poetry based build and deploy workflows for Apache Maven, NPM and Docker based applications.
You will provide base Docker images for both build and runtime, so that application operations and development may focus on requirements of their products (WEB.DE, GMX, mail.com).
For this you will use our company Kubernetes cloud and support others to do so together with our sister teams who provide aforementioned K8s cloud and a GitLab instance.
You have a technical degree such as computer science or relevant professional experience. You are interested in becoming part of an agile DevOps team and helping to shape continuous integration and deployment. You like TDD, write high-quality code, your work attitude is ""hands-on"" and you like to deal with new technologies. Wanted skills:
Experience in software design: Requirements, system design, API specification.
Software implementation with a focus on Spring Boot 3 and additionally Typescript/Vue,js, Python.
Advanced familiarity with CI environments such as GitLab-CI.
Strong documentation skills and willingness to professionally support our (internal) users.
System and application management (Linux, Ansible, Kubernetes, Helm).
Neugierig auf das Gehalt für diesen Job?
Gehalt anzeigen
€
Min €
Max €
Karte anzeigen
1&1 Mail & Media
Karlsruhe, Deutschland
",1&1 Mail & Media,Karlsruhe,https://www.stepstone.de/stellenangebote--Senior-Software-Developer-DevOps-f-m-d-Karlsruhe-11-Mail-Media--10450125-inline.html
Java Software Developer (f/m/d) (Tailor Made Developments),"50Hertz is one of the four transmission system operators (TSO) in Germany. We transport electricity at extra-high voltage level. The company's approximately 1,600 employees achieve something that until recently seemed impossible: advancing the energy transition at high speed while maintaining a high level of supply security. Together with the Belgian electricity grid operator Elia (Brussels), we form the inter­nationally active Elia Group. As a TSO, we take on a central moderating role in the realisation of the energy transition from a social, technical and economic perspective.
Java Software Developer (f/m/d)
(Tailor Made Developments)
Full time (37 hours per week)
Heidestraße 2, 10557 Berlin
From today
Permanent contract
Job ID: 6775
Why is this role interesting for me? The Elia Group is at the forefront of the energy transition. In this international team, I can contribute to innovative as well as intuitive tailor-made applications, which meet and exceed the specific business needs. At the Elia Group, I can make an impact and create assets for an organization, which ensures the security of energy supply for 30 million people. At the same time, I can continuously develop my strengths and learn from my specialist colleagues.
My tasks as a Java developer:
Development of clean and efficient code based on specifications and guidelines,
Development of applications and systems,
Troubleshooting programming issues and ensuring a productive work environment,
Maintenance and regular improvement of existing software,
Pre-launch analyzing and testing,
Ensuring software security by developing programs to actively monitor the disclosure of private information,
Proactively seeking ways to improve processes and interactions, addressing the business needs,
Helping and supporting my team colleagues.
Agile and optimization-focused thinking is part of our team DNA at the Elia Group.
IT-/tech-related academic degree (bachelor’s or master’s degree),
Several years of experience using the Java-stack,
Very good knowledge of Java frameworks (e.g., Spring Boot),
Good knowledge of redundant, highly available systems, micro service architectures, API-centric system designs, and development environments,
Knowledge of dependency injection, software design patterns and continuous integration, 
Language skills: English (C1), fluent German is a plus.
Nice to have:
Experience with development in cloud environment (public and private cloud),
Good knowledge of standards and Java web technologies (backend) such as Open API Specifications 3.0, REST, gRPC as well as Camunda BPM, Hazelcast as well as libraries for web front ends,
Knowledge of OAuth2.0, SQL databases, graph databases, NoSql databases as well as Kubernetes.
37 hour week
Company pension
30 days of holiday
Flexitime with a long-term time account
Fair remuneration and a wide range of social benefits
Supported personal development
Flexi Compass – see how flexible this job is:
Working hours per week: 37 hours (full time),
Flexible working hours and a long-term working time account supporting your work-life-balance,
The number of flex days is not limited,
No core working hours,
Mobile working, also from home, is possible.
Neugierig auf das Gehalt für diesen Job?
Gehalt anzeigen
€
Min €
Max €
Karte anzeigen
50Hertz Transmission GmbH
Heidestraße 2, 10557 Berlin, Deutschland
Pendelzeit
Von:
Nach:
Wie:
Auto
ÖPNV
Zu Fuß
Fahrrad
Pendelzeit anzeigen
- - : - -
",50Hertz Transmission GmbH,Berlin,https://www.stepstone.de/stellenangebote--Java-Software-Developer-f-m-d-Tailor-Made-Developments-Berlin-50Hertz-Transmission-GmbH--10453699-inline.html
Software Developer Web (f/m/d),"IEA (International Association for the Evaluation of Educational Achievement) is an independent, nonprofit research organization. We conduct international and national large-scale comparative studies of educational achievement and other aspects of education, with the aim to research, understand, and improve education worldwide. At IEA Hamburg over one hundred and fifty employees are involved in managing the different tasks of a study ranging from sampling to data analysis. Our experts also provide a wide array of services related to international and national surveys and assessments.
To support our Coding Unit we have an immediate opening for a full-time (40 hrs./week)
Software Developer Web (f/m/d)
Provide full stack development of new web applications and new features in existing web applications
Maintain and adapt existing web applications used for large-scale educational assessments from cycle to cycle
Estimate development tasks
University degree or successfully completed vocational training as a software specialist in IT, Computer Science, or a related subject
Experience with full stack web development
Very good knowledge of web page design and web UI development
Very good programming knowledge in JavaScript
Very good knowledge of web development (preferably Node.js, React, Angular, Vue, .NET Web API)
Good knowledge of C#, Entity Framework, ADO.NET
Good knowledge of database technologies and database design, preferably in MS SQL Server
Working experience with AWS desirable
Experience using Git or other version control systems
Analytical way of thinking and ability to deal with multiple tasks based on priorities
Good communication skills and ability to work both independently and as a team player
Ability to communicate effectively in written and oral form in English
This challenging position provides you with the possibility to gain competences in the interesting and expanding working field of educational research in which continuous improvement and personal development are stimulated.
Neugierig auf das Gehalt für diesen Job?
Gehalt anzeigen
€
Min €
Max €
Karte anzeigen
IEA Hamburg
Überseering 27, 22297 Hamburg, Deutschland
Pendelzeit
Von:
Nach:
Wie:
Auto
ÖPNV
Zu Fuß
Fahrrad
Pendelzeit anzeigen
- - : - -
",IEA Hamburg,Sei einer der ersten Bewerber,https://www.stepstone.de/stellenangebote--Software-Developer-Web-f-m-d-Hamburg-IEA-Hamburg--10398178-inline.html
